Fill 	 Create Time 	 Duration Stable 	 Bfield 	 Peak Inst Lumi 	 Peak Pileup 	 Peak Spec Lumi 	 Delivered Lumi 	 Recorded Lumi 	 Eff By Lumi 	 Eff By Time 	 Begin Time 	 to Ready 	 End Time 	 Type 	 Energy 	 I Beam1 (x10^11) 	 I Beam2 (x10^11) 	 nB1 	 nB2 	 nCol 	 nTar 	 xIng (micro rad) 	 Injection Scheme 	 Runs 	 Comments 	 
 5568 	 2016.12.02 09:15:15 	 6 hr 09 min 	 3.799986963671875	 7.838472 	 0.290087 	 0.033784 	 10707.798958 	 9545.597076 	 89.146 	 95.826 	 2016.12.02 14:01:00 	 0.765 	 2016.12.02 20:10:23 	 ProtonIon - PB82 vs PROTON	 6499 	 98.351071 	 166.613284 	 540 	 684 	 513 	 513.0 	 140.0 	 100_200ns_540Pb_684p_513_224_162_20inj 	 286420 286422 286424 286425  	  	 
5565 	 2016.12.01 15:26:06 	 3 hr 55 min 	 3.799986963671875	 7.865668 	 0.291094 	 0.034042 	 7931.661606 	 7779.704094 	 98.084 	 100.000 	 2016.12.01 18:50:38 	 0.904 	 2016.12.01 22:46:00 	 ProtonIon - PB82 vs PROTON	 6499 	 97.418939 	 168.920424 	 540 	 684 	 513 	 513.0 	 140.0 	 100_200ns_540Pb_684p_513_224_162_20inj 	 286365  	  	 
5564 	 2016.12.01 11:30:40 	 1 hr 05 min 	 3.799986963671875	 7.555670 	 0.279621 	 0.032842 	 2569.569349 	 2305.540085 	 89.725 	 93.691 	 2016.12.01 14:13:17 	 1.068 	 2016.12.01 15:18:01 	 ProtonIon - PB82 vs PROTON	 6499 	 96.317557 	 167.449293 	 540 	 684 	 513 	 513.0 	 140.0 	 100_200ns_540Pb_684p_513_224_162_20inj 	 286327 286328 286329  	  	 
5563 	 2016.11.30 23:47:49 	 8 hr 17 min 	 3.799986963671875	 7.702636 	 0.285060 	 0.035164 	 11286.084175 	 10779.315948 	 95.510 	 97.022 	 2016.12.01 03:05:44 	 0.834 	 2016.12.01 11:22:47 	 ProtonIon - PB82 vs PROTON	 6499 	 93.940089 	 166.140240 	 540 	 684 	 513 	 513.0 	 140.0 	 100_200ns_540Pb_684p_513_224_162_20inj 	 286301 286302 286303 286309 286311 286314  	  	 
5562 	 2016.11.30 20:58:00 	 0 hr 13 min 	 3.799986963671875	 8.694490 	 0.321767 	 0.035834 	 668.068349 	 623.851001 	 93.381 	 100.000 	 2016.11.30 23:26:07 	 0.808 	 2016.11.30 23:39:32 	 ProtonIon - PB82 vs PROTON	 6499 	 93.593901 	 184.310993 	 540 	 684 	 513 	 513.0 	 140.0 	 100_200ns_540Pb_684p_513_224_162_20inj 	 286288  	  	 
5559 	 2016.11.30 07:02:22 	 2 hr 31 min 	 3.799986963671875	 9.021642 	 0.333874 	 0.036877 	 5443.943024 	 4939.531326 	 90.734 	 94.686 	 2016.11.30 11:45:26 	 0.992 	 2016.11.30 14:16:56 	 ProtonIon - PB82 vs PROTON	 6499 	 94.808215 	 189.600954 	 540 	 684 	 513 	 513.0 	 140.0 	 100_200ns_540Pb_684p_513_224_162_20inj 	 286200 286201 286204  	  	 
5558 	 2016.11.30 00:52:38 	 3 hr 54 min 	 3.799986963671875	 5.417890 	 0.253974 	 0.036395 	 5304.771423 	 5142.508984 	 96.941 	 98.958 	 2016.11.30 03:01:48 	 0.785 	 2016.11.30 06:55:21 	 ProtonIon - PB82 vs PROTON	 6499 	 81.144227 	 169.382678 	 540 	 684 	 405 	 405.0 	 140.0 	 100_200ns_540Pb_684p_405_351_251_20inj 	 286178  	  	 
5554 	 2016.11.29 04:18:40 	 3 hr 02 min 	 3.799986963671875	 5.886426 	 0.275938 	 0.037881 	 4788.288593 	 4620.670319 	 96.499 	 98.829 	 2016.11.29 06:41:03 	 0.773 	 2016.11.29 09:43:18 	 ProtonIon - PB82 vs PROTON	 6499 	 85.457492 	 168.485926 	 540 	 684 	 405 	 405.0 	 140.0 	 100_200ns_540Pb_684p_405_351_251_20inj 	 286069 286070  	  	 
5553 	 2016.11.28 15:32:08 	 6 hr 30 min 	 3.799986963671875	 6.210946 	 0.291150 	 0.036838 	 8268.757820 	 8033.533096 	 97.155 	 99.448 	 2016.11.28 21:42:29 	 0.951 	 2016.11.29 04:12:11 	 ProtonIon - PB82 vs PROTON	 6499 	 91.654801 	 169.089989 	 540 	 684 	 405 	 405.0 	 140.0 	 100_200ns_540Pb_684p_405_351_251_20inj 	 286051 286054  	  	 
5552 	 2016.11.28 06:19:41 	 6 hr 59 min 	 3.799986963671875	 5.979949 	 0.280322 	 0.037716 	 8289.805412 	 7914.970875 	 95.478 	 97.895 	 2016.11.28 08:25:18 	 0.795 	 2016.11.28 15:24:09 	 ProtonIon - PB82 vs PROTON	 6499 	 89.608358 	 163.934487 	 540 	 684 	 405 	 405.0 	 140.0 	 100_200ns_540Pb_684p_405_351_251_20inj 	 286031 286033 286034  	  	 
